Name,BU,Provider,End date,Ext.,Remarks from mxtool,Remarks From vendor,forwarding website/reserve domain
acaciaescalades.com,RBD,pangalan.com,05/20/2022,com,Down,for investigation,reserved
bridgetowne.ph,OBD,dot.ph,3/24/2021,ph,Down,registration,no forwarding website /could not find
bridgetowne.com.ph,OBD,dot.ph,3/24/2021,com.ph,Down,registration,no forwarding website /could not find
chimesannapolis.com,RCM,pangalan.com,11/01/2021,com,Down,for investigation,reserved
chimesresidences.com,RCM,pangalan.com,11/01/2021,com,down,for investigation,reserved
galleriacebu.com,RBD,pangalan.com,03/24/2021,com,down,registration,reserved
galleriacebu.ph,RBD,dot.ph,3/24/2021,ph,Down,for investigation,reserved
galleriaresidences.ph,RBD,dot.ph,3/24/2021,ph,Down,for investigation,reserved
galleriaresidencescebu.ph,RBD,dot.ph,3/24/2021,ph,Down,for investigation,reserved
mycornerstone.ph,CCD,dot.ph,11/11/2021,ph,Down,for investigation,no forwarding website /could not find
residencesatsonataplace.com,RBD,pangalan.com,03/24/2021,com,Down,registration,no forwarding website /could not find
residencesatsonataplace.ph,RBD,dot.ph,3/24/2021,ph,Down,registration,no forwarding website /could not find
righthomes.ph,RBD,dot.ph,2/8/2022,ph,Down,for investigation,reserved
rlove.com.ph,CCU,pangalan.com,04/02/2021,com.ph,Down,for investigation,reserved
robinsoncommunities.net,RCM,pangalan.com,02/19/2022,net,Down,for investigation,reserved
robinsononline.ph,CCD,dot.ph,2/4/2023,ph,Down,for investigation,reserved
robinsonscommunities.net,RCM,pangalan.com,06/28/2021,net,Down,for investigation,reserved
robinsonscondominiums.com,RBD,pangalan.com,07/12/2022,com,Down,for investigation,reserved
robinsonshotels.com.ph,RHR,dot.ph,6/16/2021,com.ph,403 Forbidden,for investigation,reserved
robinsonsland.com.ph,CCD,dot.ph,7/28/2021,com.ph,Down,for investigation,reserved
robinsonslandcommunities.net,RCM,pangalan.com,02/16/2022,net,Down,for investigation,reserved
robinsonslandcommunities.com,RCM,pangalan.com,02/16/2022,com,Down,for investigation,reserved
robinsonsluxuria.com,RBD,pangalan.com,06/03/2022,com,Down,for investigation,reserved
robinsonsonline.com.ph,CCD,dot.ph,1/20/2023,com.ph,down,for investigation,reserved
sonatamanilaresidences.com,RBD,pangalan.com,03/24/2021,com,down,registration,no forwarding website /could not find
sonataplace.com,RBD,pangalan.com,03/24/2021,com,down,registration,no forwarding website /could not find
sonataplace.ph,RBD,dot.ph,3/24/2021,ph,down,for investigation,no forwarding website /could not find
sonataplaceresidences.com,RBD,pangalan.com,03/24/2021,com,Down,registration,reserved
sonataplaceresidences.ph,RBD,dot.ph,3/24/2021,ph,down,for investigation,reserved
sonataresidences.com,RBD,pangalan.com,03/24/2021,com,down,registration,reserved
summitcircle.ph,RHR,dot.ph,12/21/2022,ph,down,for investigation,reserved
thechimesannapolis.com,RCM,pangalan.com,10/31/2021,com,down,registration,reserved
thechimesannapolis.net,RCM,pangalan.com,10/31/2021,net,down,registration,no forwarding website /could not find
theresidencesatsonataplace.com,RBD,pangalan.com,03/24/2021,com,down,registration,no forwarding website /could not find
theresidencesatsonataplace.ph,RBD,dot.ph,3/24/2021,ph,down,for investigation,no forwarding website /could not find
woodsvilleresidences.ph,RBD,dot.ph,3/24/2021,ph,down,for investigation,reserved
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
